iter	RMSE
0	68723.64126
1	60774.36061
2	55268.79549
3	50881.23312
4	48272.8764
5	45775.96859
6	43866.00538
7	42229.97701
8	41017.65437
9	40641.45657
10	39663.02372
11	38919.81398
12	38586.78151
13	38566.32258
14	37463.83724
15	37155.67421
16	36726.80616
17	36112.36072
18	35853.86325
19	35686.65667
20	35666.41437
21	35128.12946
22	34623.47845
23	34599.55044
24	34265.98714
25	33834.83102
26	33574.43687
27	33531.93546
28	33382.32079
29	33180.64006
30	33038.85495
31	32653.42995
32	32148.67257
33	32041.58404
34	31949.81764
35	31768.83549
36	31414.87279
37	31322.0544
38	31050.54675
39	30412.87453
40	30176.29847
41	29872.64999
42	29467.26697
43	29267.34811
44	29122.56562
45	28919.09841
46	28774.27109
47	28646.72484
48	28493.91186
49	28284.91609
50	28133.26492
51	27893.17893
52	27765.46676
53	27715.37198
54	27664.01803
55	27571.39766
56	27499.47161
57	27430.5155
58	27273.61673
59	27248.37648
60	27213.0259
61	27054.63737
62	27002.07694
63	26848.19156
64	26766.43573
65	26683.31752
66	26482.04972
67	26408.25289
68	26207.45064
69	26065.92352
70	25940.3488
71	25920.07478
72	25881.48787
73	25864.27241
74	25797.6903
75	25742.22948
76	25646.73524
77	25488.115
78	25354.72799
79	25268.05965
80	25252.67659
81	25238.45691
82	25152.80322
83	25027.54475
84	24906.54558
85	24716.20083
86	24580.57163
87	24450.76243
88	24228.5314
89	24217.65588
90	24062.29136
91	23999.38847
92	23847.22751
93	23835.54287
94	23757.49632
95	23718.80344
96	23708.79767
97	23637.68705
98	23628.2339
99	23524.16389
100	23430.9835
101	23369.2204
102	23351.1847
103	23287.66602
104	23104.02855
105	23088.32524
106	23080.22553
107	23021.28777
108	22871.57721
109	22772.00524
110	22742.69524
111	22670.95949
112	22614.46649
113	22509.90209
114	22497.98276
115	22486.87879
116	22324.53284
117	22263.62644
118	22172.39698
119	22098.57141
120	21994.76141
121	21919.11255
122	21913.49203
123	21804.2863
124	21706.00031
125	21616.4455
126	21505.57364
127	21417.73402
128	21357.21058
129	21283.09589
130	21224.5581
131	21182.95035
132	21164.33851
133	21076.99843
134	21062.99838
135	20968.70245
136	20905.02576
137	20893.44233
138	20824.78984
139	20758.72922
140	20722.9809
141	20645.31267
142	20597.71079
143	20533.74055
144	20474.75785
145	20434.10052
146	20359.77948
147	20348.10723
148	20334.07714
149	20257.29678
150	20160.6194
151	20084.04871
152	20038.56798
153	20002.38918
154	19966.20484
155	19909.05557
156	19825.24637
157	19785.85936
158	19751.79452
159	19555.94247
160	19449.1233
161	19425.13668
162	19411.79895
163	19374.59401
164	19317.11787
165	19238.57596
166	19180.81047
167	19150.71359
168	19054.88421
169	19010.06662
170	18987.82376
171	18930.37091
172	18880.88877
173	18839.01546
174	18763.10419
175	18721.86671
176	18677.96371
177	18642.37314
178	18616.14139
179	18613.26184
180	18580.03678
181	18526.63941
182	18499.05491
183	18495.99417
184	18487.19979
185	18448.52019
186	18446.0147
187	18436.67174
188	18359.51033
189	18312.17662
190	18263.66517
191	18240.47287
192	18205.35946
193	18135.93045
194	18133.71088
195	18085.33696
196	18069.00901
197	18043.38232
198	18041.32814
199	18003.22902
200	17957.87672
201	17870.94737
202	17861.15157
203	17828.01246
204	17816.93453
205	17793.98196
206	17760.44276
207	17734.39328
208	17684.12494
209	17671.28165
210	17662.0366
211	17660.17258
212	17629.81885
213	17570.5405
214	17504.96367
215	17436.04087
216	17403.61221
217	17317.01787
218	17259.68066
219	17222.03169
220	17142.61349
221	17119.43873
222	17062.4156
223	17010.93024
224	16964.1093
225	16933.11473
226	16895.21803
227	16866.12017
228	16772.57989
229	16749.29311
230	16684.48435
231	16646.29597
232	16597.34801
233	16583.20049
234	16498.45703
235	16482.54643
236	16420.75212
237	16377.63548
238	16354.92626
239	16300.35345
240	16298.59921
241	16266.01549
242	16264.33694
243	16206.31897
244	16159.514
245	16127.52065
246	16121.5264
247	16114.37539
248	16076.35787
249	16041.09401
250	16010.82655
251	15948.80143
252	15922.57623
253	15906.85851
254	15875.6583
255	15788.12832
256	15750.44732
257	15732.72751
258	15700.75216
259	15699.1082
260	15677.67555
261	15658.76282
262	15654.69112
263	15627.12563
264	15622.6151
265	15580.2599
266	15555.98482
267	15529.78931
268	15517.72744
269	15475.10897
270	15444.33317
271	15417.42115
272	15408.63426
273	15397.01276
274	15360.44456
275	15342.04888
276	15313.74182
277	15308.95216
278	15274.0893
279	15218.30713
280	15190.61451
281	15162.99794
282	15127.66652
283	15104.69907
284	15099.49425
285	15068.30897
286	15030.61891
287	14966.34638
288	14925.60721
289	14870.03192
290	14844.32859
291	14825.6231
292	14804.37102
293	14788.3612
294	14765.24158
295	14738.63701
296	14703.36155
297	14699.50227
298	14688.57732
299	14652.98334
300	14563.16998
301	14554.40858
302	14534.74852
303	14507.09448
304	14501.06204
305	14492.3892
306	14473.62589
307	14449.28394
308	14427.16087
309	14424.40267
310	14393.9844
311	14353.91522
312	14351.37653
313	14309.829
314	14300.81183
315	14250.59869
316	14248.05862
317	14203.43939
318	14199.1196
319	14196.54765
320	14172.14717
321	14143.87399
322	14141.23888
323	14096.89393
324	14079.42467
325	14075.12062
326	14068.33127
327	14045.68342
328	14041.15434
329	14016.46731
330	14014.55108
331	14011.34455
332	13952.43917
333	13934.43983
334	13929.25736
335	13928.22193
336	13911.62936
337	13891.17922
338	13877.07425
339	13874.2789
340	13852.7821
341	13842.83722
342	13810.8599
343	13795.62555
344	13770.76115
345	13762.38142
346	13744.00929
347	13707.88073
348	13681.17083
349	13657.36357
350	13640.39861
351	13638.56969
352	13613.38801
353	13586.34507
354	13583.22922
355	13565.17824
356	13528.96695
357	13500.70246
358	13485.18368
359	13425.45917
360	13422.83692
361	13402.81861
362	13367.17146
363	13336.39599
364	13333.7287
365	13320.98593
366	13297.24377
367	13279.67423
368	13242.81038
369	13205.58696
370	13179.57564
371	13144.67038
372	13138.15427
373	13130.01138
374	13114.15232
375	13081.15795
376	13047.58647
377	13029.49615
378	13011.22665
379	13008.78005
380	12995.37287
381	12989.87111
382	12972.28488
383	12959.17259
384	12933.84455
385	12928.1801
386	12905.07103
387	12889.95709
388	12848.25643
389	12823.42948
390	12822.1584
391	12791.46524
392	12786.11872
393	12761.68771
394	12747.9071
395	12726.31341
396	12721.10739
397	12720.00627
398	12715.26629
399	12667.21625
400	12662.3761
401	12661.14387
402	12620.9616
403	12619.99334
404	12618.80861
405	12585.62724
406	12561.00294
407	12543.91025
408	12541.68451
409	12540.08686
410	12524.14099
411	12523.05202
412	12491.10931
413	12469.75911
414	12447.02438
415	12427.26734
416	12426.35856
417	12410.26224
418	12398.15097
419	12386.49229
420	12381.83019
421	12380.19604
422	12374.21154
423	12373.38006
424	12372.58234
425	12369.22434
426	12357.25696
427	12356.2439
428	12345.72669
429	12341.95131
430	12318.40472
431	12293.41272
432	12292.75367
433	12281.45818
434	12251.82961
435	12221.71018
436	12203.28581
437	12188.29969
438	12174.25353
439	12149.047
440	12128.1705
441	12101.84324
442	12083.42752
443	12081.74647
444	12080.06452
445	12048.91405
446	12048.24075
447	12030.34248
448	12001.02676
449	11979.51252
450	11963.48683
451	11949.82817
452	11942.17093
453	11926.40389
454	11919.63088
455	11915.5521
456	11894.03994
457	11884.85708
458	11863.59299
459	11861.29831
460	11860.62296
461	11855.32253
462	11853.35684
463	11851.51486
464	11831.54522
465	11805.42331
466	11790.88296
467	11789.05102
468	11788.01818
469	11771.21151
470	11769.97682
471	11755.45597
472	11721.91421
473	11695.95663
474	11655.06573
475	11641.44227
476	11626.75813
477	11598.92714
478	11588.01133
479	11580.32466
480	11576.60613
481	11576.07342
482	11561.54122
483	11523.5462
484	11515.54451
485	11453.74354
486	11425.19878
487	11423.62246
488	11415.25587
489	11384.76155
490	11376.56425
491	11375.42774
492	11358.18918
493	11356.39979
494	11352.66868
495	11330.86054
496	11312.18068
497	11310.70314
498	11296.95578
499	11290.56229
500	11271.42762
501	11242.96088
502	11235.31454
503	11224.76449
504	11218.53754
505	11208.75145
506	11202.46963
507	11200.90366
508	11198.21787
509	11189.18539
510	11150.20941
511	11125.76412
512	11119.82961
513	11097.75123
514	11070.64427
515	11067.46147
516	11062.47097
517	11044.56654
518	11030.03985
519	11020.21994
520	11004.82765
521	10979.74571
522	10965.39709
523	10957.19661
524	10932.16914
525	10927.05209
526	10912.57354
527	10900.92358
528	10900.47493
529	10896.13528
530	10884.50403
531	10882.02807
532	10874.63663
533	10846.51591
534	10825.52281
535	10814.54206
536	10806.03845
537	10801.86182
538	10788.79768
539	10779.29322
540	10766.07963
541	10765.50967
542	10764.18972
543	10762.57299
544	10755.43204
545	10740.89897
546	10734.74085
547	10730.51091
548	10722.97147
549	10715.8681
550	10710.30814
551	10700.83029
552	10687.4776
553	10677.12726
554	10662.90129
555	10652.17736
556	10646.91728
557	10646.13739
558	10638.34969
559	10630.39454
560	10601.81912
561	10591.14186
562	10590.12638
563	10579.52761
564	10574.27048
565	10571.64692
566	10570.75895
567	10552.59053
568	10530.88047
569	10523.45167
570	10516.7233
571	10513.41417
572	10504.92624
573	10498.18064
574	10490.38071
575	10484.49065
576	10480.84866
577	10480.20744
578	10474.49341
579	10473.35838
580	10465.80104
581	10442.72165
582	10437.37443
583	10436.36933
584	10427.52172
585	10426.8551
586	10420.65933
587	10395.28203
588	10390.42526
589	10367.43062
590	10355.3717
591	10346.36095
592	10344.50879
593	10340.03071
594	10319.08401
595	10318.61578
596	10293.9701
597	10289.42012
598	10285.4277
599	10273.2383
600	10272.63172
601	10253.5613
602	10247.12732
603	10214.74473
604	10188.37647
605	10179.86468
